merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Unknown,0.0224,0.0134,0.0008,0.0694,0.0742,0.0366,0.0152
ad annoyance,0.0004,0.0004,0.0,0.0,0.0014,0.0002,0.0006
addictive gameplay,0.0016,0.0006,0.0,0.0042,0.001,0.0006,0.0004
ads and app performance,0.0054,0.0014,0.0004,0.001,0.002,0.0018,0.001
angry birds,0.0074,0.0004,0.0002,0.0008,0.0016,0.0006,0.0
angry birds classic,0.0056,0.0,0.0,0.001,0.0008,0.0004,0.0002
angry birds enjoyment,0.0188,0.0002,0.0,0.0124,0.0032,0.002,0.0012
app accessibility issues,0.0006,0.001,0.0002,0.0014,0.0184,0.0,0.0
app crashes and ads,0.0002,0.0006,0.0004,0.0,0.0008,0.002,0.0006
app crashes and freezes,0.0016,0.0,0.0,0.0,0.0006,0.0004,0.0
app crashes and launch issues,0.0008,0.0008,0.0004,0.0014,0.001,0.005,0.0004
app crashes and loading issues,0.001,0.0002,0.0,0.0002,0.0022,0.0074,0.0018
app freezing issues,0.002,0.0002,0.0004,0.0006,0.0048,0.004,0.0006
app removal & availability,0.0008,0.0002,0.0,0.001,0.002,0.001,0.0022
app version changes,0.0,0.0002,0.0,0.0016,0.0012,0.0012,0.0006
best mobile game,0.0002,0.0,0.0,0.0022,0.0014,0.0006,0.0008
birds and anger,0.0076,0.0004,0.0,0.0026,0.001,0.0,0.0002
casual acknowledgments,0.0,0.0,0.0,0.0,0.0038,0.0,0.0
childhood nostalgia,0.0004,0.0,0.0004,0.006,0.0006,0.0,0.0006
classic favorites,0.0002,0.0,0.0,0.0038,0.0038,0.0002,0.0004
classic games,0.0002,0.0,0.0,0.0028,0.0018,0.0002,0.0
device compatibility issues,0.0002,0.0004,0.0,0.0,0.0012,0.0012,0.0008
difficulty and challenge,0.0,0.0,0.0,0.0048,0.0012,0.0008,0.0002
engaging games,0.0,0.0,0.0,0.0012,0.0006,0.0,0.0004
enjoyable and fun games,0.0,0.0,0.0,0.005,0.0004,0.0,0.0002
enjoyable experience,0.0,0.0,0.0,0.0036,0.0006,0.0002,0.0
enjoyment and fun,0.0,0.0002,0.0,0.0028,0.0,0.0,0.0
excellent graphics,0.0,0.0,0.0,0.0002,0.0106,0.0002,0.0004
excessive ads,0.001,0.0006,0.0002,0.0006,0.004,0.0056,0.0018
excitement and praise,0.0,0.0,0.0,0.0,0.0004,0.0,0.0042
favorite games,0.0,0.0,0.0,0.0044,0.0,0.0,0.0002
feature request: return,0.0,0.0,0.0,0.0004,0.0022,0.0006,0.001
fun and entertainment,0.0,0.0,0.0,0.0064,0.0,0.0,0.0002
