merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
"""baby panda game reviews""",0.0,0.0,0.0,0.0196,0.0012,0.0002,0.0006
"""babybus games reviews""",0.0,0.0,0.0,0.0032,0.0002,0.0,0.0004
"""best game ever""",0.0,0.0,0.0,0.0012,0.0016,0.0,0.0
"""best game praise""",0.0,0.0,0.0,0.0024,0.0016,0.0,0.0002
"""boring game complaints""",0.0,0.0004,0.0,0.0002,0.0,0.0028,0.0
"""excellent""",0.0,0.0,0.0,0.0,0.0056,0.0,0.0
"""excitement and appreciation""",0.0,0.0,0.0,0.0006,0.0004,0.0,0.0018
"""game quality feedback""",0.0,0.0,0.0,0.0046,0.0,0.0,0.0
"""game terminology""",0.0,0.0,0.0,0.0002,0.0034,0.0,0.0
"""love for babybus app""",0.0,0.0,0.0,0.0008,0.001,0.0002,0.0
"""panda restaurant game issues""",0.0,0.0,0.0,0.0018,0.0016,0.0,0.0002
"""positive game reviews""",0.0,0.0,0.0,0.0082,0.0006,0.0002,0.0002
Unknown,0.0022,0.006,0.0018,0.0764,0.0906,0.0048,0.0076
app appreciation,0.0,0.0002,0.0,0.002,0.0014,0.0,0.0008
app quality and purchases,0.0,0.0,0.0,0.0022,0.0,0.0,0.0
appreciation for aesthetics,0.0,0.0,0.0,0.005,0.0008,0.0,0.0004
appreciation for game aesthetics,0.0,0.0,0.0,0.0044,0.0006,0.0004,0.0
appreciation for games,0.0,0.0,0.0002,0.0,0.0026,0.0,0.0002
appreciation of aesthetics,0.0,0.0006,0.0,0.0044,0.0,0.0,0.0002
baby bus app,0.0,0.0,0.0,0.0036,0.0022,0.0,0.0
baby bus games appreciation,0.0,0.0,0.0,0.0084,0.0014,0.0004,0.0002
baby panda app,0.0,0.0,0.0,0.0016,0.0002,0.0002,0.0006
bengali language reviews,0.0,0.0002,0.0,0.0,0.008,0.0,0.0
best for kids,0.0,0.0002,0.0,0.004,0.0038,0.0,0.0002
best game praise,0.0,0.0,0.0,0.0012,0.0014,0.0,0.0
best game reviews,0.0,0.0002,0.0,0.0016,0.0026,0.0,0.0004
children's educational app,0.0,0.0,0.0,0.0028,0.0006,0.0,0.0
cooking and recipes,0.0006,0.0004,0.0006,0.031,0.0108,0.0038,0.0018
cute animal games,0.0,0.0,0.0,0.0042,0.0002,0.0,0.0
daily life and relationships,0.0002,0.0002,0.0,0.0026,0.0024,0.0006,0.0002
download and offline issues,0.0004,0.0006,0.0002,0.0024,0.0072,0.0026,0.0012
emoticon responses,0.0,0.0002,0.002,0.0002,0.0418,0.0,0.0
enjoyable and fun game,0.0,0.0,0.0,0.0078,0.001,0.0004,0.0002
enjoyable game experience,0.0,0.0002,0.0,0.0004,0.004,0.0,0.0
enjoying the game,0.0002,0.0,0.0,0.0056,0.0,0.0,0.0
excessive in-app ads,0.0004,0.0006,0.0,0.005,0.0028,0.002,0.0008
expensive good games,0.0,0.0,0.0,0.0022,0.0006,0.0002,0.0
expressing love for game,0.0,0.0,0.0,0.0026,0.0004,0.0004,0.0
expressions of amazement,0.0,0.0,0.0,0.0002,0.0002,0.0002,0.01
