merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Unknown,0.0256,0.025,0.0034,0.0944,0.0624,0.0282,0.0128
addictive gameplay,0.0016,0.0008,0.0,0.0014,0.002,0.0008,0.0
alliance and teamwork,0.0002,0.0004,0.0,0.0014,0.001,0.0002,0.0004
app scam & fraud,0.0012,0.0006,0.0004,0.0002,0.0008,0.0002,0.0
building upgrades,0.0,0.0,0.0,0.001,0.0012,0.0004,0.0
casual acknowledgments,0.0,0.0002,0.0,0.0004,0.006,0.0,0.0
dragonspire content,0.0014,0.0018,0.0002,0.0024,0.0048,0.0012,0.0004
earning via apps,0.0,0.0002,0.0,0.0014,0.0014,0.0,0.0002
empire building,0.0002,0.0008,0.0004,0.0058,0.003,0.0004,0.0008
enjoyable challenges,0.0,0.0,0.0004,0.0078,0.0022,0.0004,0.0006
enjoyable entertainment,0.0,0.0,0.0,0.002,0.0002,0.0,0.0
enjoyable experience,0.0,0.0,0.0,0.0174,0.0006,0.0,0.0
enjoyable game,0.0,0.0,0.0,0.0038,0.0002,0.0,0.0002
enjoyable gameplay,0.0,0.0,0.0,0.0072,0.0004,0.0,0.0
enjoyable graphics,0.0002,0.0006,0.0,0.0172,0.0014,0.0002,0.0004
enjoyment and fun,0.0,0.0002,0.0,0.0086,0.0002,0.0,0.0
entertainment and relaxation,0.0002,0.0,0.0,0.0036,0.0016,0.0002,0.0
excessive ads,0.003,0.0024,0.0002,0.0044,0.0072,0.0044,0.0006
f2p & p2p balance,0.0004,0.0004,0.0,0.0014,0.0004,0.0006,0.0
fairness and matchmaking issues,0.0014,0.001,0.0002,0.0,0.0012,0.0006,0.0
fantasy rpg adventure,0.0,0.0,0.0,0.0034,0.0014,0.0,0.0002
fun and addictive gameplay,0.0,0.0,0.0,0.0034,0.0,0.0,0.0
fun and entertaining,0.0,0.0,0.0,0.0024,0.0016,0.0004,0.0
fun game,0.0002,0.0,0.0,0.0098,0.0006,0.0,0.0
game addiction,0.0006,0.0008,0.0,0.0064,0.0008,0.0004,0.0006
game combat experience,0.0,0.0,0.0,0.003,0.0006,0.0,0.0
game engagement,0.0,0.0,0.0,0.0006,0.0016,0.0,0.0004
game enjoyment,0.0,0.0,0.0,0.0062,0.0,0.0,0.0
game mechanics frustration,0.0014,0.0006,0.0002,0.0002,0.002,0.0006,0.0002
game performance and access,0.0008,0.001,0.0,0.0012,0.0176,0.0004,0.0004
game praise,0.0,0.0,0.0,0.0052,0.0008,0.0,0.0
game quality and features,0.0,0.0,0.0,0.003,0.0006,0.0,0.0
game ratings and reviews,0.0004,0.0002,0.0002,0.0004,0.0018,0.0006,0.0
