merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Unknown,0.0246,0.029,0.0046,0.0648,0.0846,0.0488,0.0184
account loss and support,0.0008,0.0002,0.0,0.0012,0.0022,0.0056,0.0018
animation & art,0.0,0.0006,0.0,0.006,0.0012,0.0002,0.0014
animation quality,0.0,0.0,0.0,0.0038,0.001,0.0,0.0
anime & manga love,0.0002,0.0002,0.0002,0.0116,0.004,0.001,0.0012
app crashes and bugs,0.0006,0.0002,0.0004,0.0012,0.0042,0.009,0.0016
app improvements,0.0,0.0,0.0,0.0002,0.0014,0.0014,0.0
app launch & loading issues,0.0002,0.0002,0.0,0.0,0.0008,0.002,0.0002
arena and pvp challenges,0.0002,0.0018,0.0002,0.0004,0.0022,0.001,0.0008
awakening system issues,0.0004,0.0008,0.0002,0.0002,0.0022,0.0006,0.0002
basic acknowledgment,0.0,0.0,0.0,0.0,0.0042,0.0,0.0
casual excitement,0.0,0.0004,0.0,0.0,0.0036,0.0002,0.001
connection issues,0.0,0.0002,0.0,0.0,0.0006,0.0014,0.0
connection problems,0.0022,0.002,0.0004,0.001,0.01,0.0132,0.002
country selection issue,0.0002,0.0006,0.0,0.0006,0.0028,0.0016,0.0008
customer affection,0.0,0.0,0.0,0.0008,0.0048,0.0,0.0
developer neglect,0.0006,0.0006,0.0002,0.001,0.0016,0.0006,0.0002
difficulty and boss challenges,0.0008,0.0016,0.0,0.0004,0.0022,0.0028,0.0004
download & installation errors,0.0002,0.0002,0.0002,0.0,0.0026,0.0026,0.0012
entertainment and fun,0.0006,0.0006,0.0,0.0082,0.0002,0.0008,0.0004
epic praise,0.0002,0.0,0.0002,0.0004,0.002,0.0006,0.0004
f2p friendly gameplay,0.0006,0.0006,0.0002,0.0054,0.0044,0.0014,0.0002
gacha & f2p experience,0.0008,0.0024,0.0002,0.0036,0.0054,0.0016,0.0012
gacha frustration,0.0004,0.0012,0.0,0.0004,0.0024,0.002,0.0004
gacha game feedback,0.0,0.0004,0.0,0.0004,0.0008,0.0004,0.0
gacha game praise,0.0002,0.0024,0.0,0.0096,0.0034,0.0024,0.0006
galaxy s24 ultra crashes,0.0002,0.0,0.0002,0.0002,0.001,0.0022,0.0002
game balance and meta,0.0002,0.0006,0.0,0.0002,0.0006,0.0006,0.0
game balance concerns,0.0,0.0012,0.0002,0.0002,0.0008,0.0006,0.0
game balance issues,0.0,0.0006,0.0002,0.0002,0.0014,0.0004,0.0002
game enjoyment,0.0,0.0002,0.0,0.0,0.0024,0.0,0.0
game praise,0.0,0.0,0.0,0.0026,0.0004,0.0,0.0
game quality and storage,0.0002,0.0004,0.0002,0.0002,0.0026,0.0,0.0002
game story & graphics,0.0,0.0012,0.0002,0.0196,0.0036,0.0012,0.002
game updates and changes,0.0004,0.0018,0.0004,0.0068,0.006,0.0024,0.002
gameplay enjoyment,0.0002,0.0002,0.0,0.003,0.0014,0.0004,0.0
gear and progression,0.0006,0.0022,0.0002,0.0008,0.0022,0.0016,0.0
gender representation,0.0,0.0006,0.0,0.001,0.0006,0.0,0.0004
great graphics,0.0,0.0,0.0,0.002,0.0008,0.0,0.0002
grinding fatigue,0.0006,0.0012,0.0002,0.0014,0.003,0.001,0.0
hero balance concerns,0.0004,0.0006,0.0004,0.0002,0.001,0.0008,0.0
hero summoning & currency,0.0006,0.0006,0.0,0.0002,0.0014,0.001,0.0002
high cost & value concerns,0.0004,0.0008,0.0,0.0006,0.0016,0.0008,0.0006
in-game purchases,0.0002,0.0004,0.0,0.0006,0.0006,0.0,0.0004
language and localization issues,0.0,0.0,0.0,0.0002,0.0018,0.0004,0.0008
large download size,0.0002,0.0,0.0002,0.0,0.002,0.0008,0.0016
loading and startup delays,0.0,0.0,0.0,0.0008,0.0026,0.0006,0.0014
