merged_topic_label,negative_proportion,total_reviews,pain_point_flag
App Crashes and Bugs,0.5723793677204659,601,True
F2P Experience,0.2894736842105263,114,False
Fun and Entertainment,0.04899135446685879,347,False
Game Enjoyment,0.08641975308641975,162,False
Game Quality and Performance,0.09363295880149813,267,False
Mixed Feelings,0.03829787234042553,235,False
Other,0.3574346405228758,2448,False
RNG and Gear Frustration,0.5603448275862069,232,True
Server Connectivity Issues,0.4703703703703704,270,True
Top Game Praise,0.04938271604938271,324,False
