merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Brawlers & Gameplay,0.0066,0.001,0.0002,0.0262,0.012,0.0048,0.0024
Enjoyment and Fun,0.0002,0.0002,0.0,0.0478,0.0026,0.0008,0.0004
Game Progress and Updates,0.0022,0.0066,0.0012,0.0046,0.0228,0.0054,0.0012
Mastery Removal Feedback,0.0056,0.0034,0.0012,0.005,0.0284,0.007,0.0016
Other,0.0532,0.0502,0.0076,0.1274,0.1128,0.091,0.0242
Player Experience and Satisfaction,0.003,0.0016,0.0032,0.0008,0.0388,0.0002,0.0012
Player Satisfaction and Ratings,0.0062,0.0106,0.0022,0.0556,0.0318,0.0126,0.0076
Poor Quality and Updates,0.002,0.0064,0.0006,0.0042,0.005,0.0066,0.0008
Positive Game Feedback,0.0,0.0002,0.0,0.035,0.0028,0.0004,0.0016
Positive Praise,0.0008,0.004,0.0002,0.0324,0.045,0.003,0.0058
