merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
"""amazing game experience""",0.0,0.0,0.0,0.0022004400880176033,0.0,0.0,0.001200240048009602
"""awesome game appreciation""",0.0,0.0,0.0,0.002600520104020804,0.0,0.0,0.00020004000800160032
"""best game played""",0.0,0.00020004000800160032,0.0,0.005201040208041608,0.0014002800560112022,0.00020004000800160032,0.001200240048009602
"""best game praise""",0.0,0.0,0.0,0.0014002800560112022,0.0010002000400080016,0.0,0.0
"""best game reviews""",0.0,0.0,0.0,0.0034006801360272052,0.01740348069613923,0.00040008001600320064,0.00020004000800160032
"""coc game appreciation""",0.0,0.00020004000800160032,0.0,0.002000400080016003,0.002000400080016003,0.00020004000800160032,0.00020004000800160032
"""cool game reviews""",0.0,0.0,0.0,0.002000400080016003,0.00020004000800160032,0.0,0.0
"""excellent"" or ""high praise""",0.0,0.0,0.0,0.0,0.0028005601120224045,0.0,0.0
"""fun and violent entertainment""",0.00020004000800160032,0.0,0.0,0.003800760152030406,0.0,0.0,0.00020004000800160032
"""game praise and acclaim""",0.0,0.00040008001600320064,0.0,0.00040008001600320064,0.001200240048009602,0.0,0.00040008001600320064
"""high praise for game""",0.0,0.0,0.0,0.0034006801360272052,0.008201640328065612,0.0,0.0016003200640128026
"""neutral or satisfactory responses""",0.00040008001600320064,0.0,0.0,0.0,0.007401480296059212,0.0,0.0
"""op""",0.0,0.0,0.0,0.0,0.0022004400880176033,0.0,0.0
"""patience in gaming""",0.00020004000800160032,0.0,0.0,0.002000400080016003,0.002600520104020804,0.0008001600320064013,0.0
"""positive game reviews""",0.0,0.0,0.0,0.0036007201440288058,0.00020004000800160032,0.00020004000800160032,0.0
"""requests for global chat return""",0.0,0.0,0.0,0.001200240048009602,0.0018003600720144029,0.001200240048009602,0.0
"""wow reactions""",0.0,0.0,0.0,0.0,0.0,0.0,0.004000800160032006
Unknown,0.005201040208041608,0.005201040208041608,0.0014002800560112022,0.07441488297659532,0.042008401680336066,0.015803160632126424,0.008401680336067214
account issues/supercell support,0.0022004400880176033,0.001200240048009602,0.0010002000400080016,0.000600120024004801,0.005601120224044809,0.014802960592118424,0.002400480096019204
ads and privacy concerns,0.00020004000800160032,0.0,0.0,0.0014002800560112022,0.000600120024004801,0.00040008001600320064,0.00020004000800160032
best game reviews,0.0,0.0,0.0,0.0010002000400080016,0.0014002800560112022,0.0,0.0
best gaming experience,0.00020004000800160032,0.0,0.0,0.004200840168033607,0.0036007201440288058,0.00040008001600320064,0.00040008001600320064
best mobile game reviews,0.0,0.0,0.0,0.0010002000400080016,0.0016003200640128026,0.00020004000800160032,0.00040008001600320064
childhood nostalgia games,0.0,0.00020004000800160032,0.0,0.0028005601120224045,0.0014002800560112022,0.00020004000800160032,0.00040008001600320064
clash of clans game,0.0014002800560112022,0.0,0.0,0.011402280456091218,0.004800960192038408,0.0008001600320064013,0.0010002000400080016
coc game appreciation,0.0,0.0,0.0,0.003800760152030406,0.000600120024004801,0.00020004000800160032,0.0
dislike for app icon/image,0.00040008001600320064,0.000600120024004801,0.00020004000800160032,0.0,0.0008001600320064013,0.0,0.0010002000400080016
enjoyable and addictive game,0.0,0.0,0.0,0.007601520304060812,0.00020004000800160032,0.0,0.000600120024004801
excellent game,0.0,0.0,0.0,0.002400480096019204,0.0,0.0,0.0
exciting and interesting game,0.0,0.0,0.0,0.005601120224044809,0.0010002000400080016,0.00020004000800160032,0.0008001600320064013
favorite game,0.0,0.0,0.0,0.004800960192038408,0.000600120024004801,0.0,0.0
fun experience,0.0,0.0,0.0,0.006001200240048009,0.0,0.0,0.0
fun rpg games,0.0,0.0,0.0,0.004200840168033607,0.001200240048009602,0.0,0.00040008001600320064
game addiction,0.0,0.00020004000800160032,0.0,0.009601920384076815,0.001200240048009602,0.0018003600720144029,0.000600120024004801
game connection issues,0.00040008001600320064,0.00040008001600320064,0.00020004000800160032,0.0,0.003800760152030406,0.0,0.00020004000800160032
game enjoyment,0.0,0.00020004000800160032,0.0,0.00620124024804961,0.00040008001600320064,0.0,0.00020004000800160032
game performance feedback,0.00020004000800160032,0.0,0.00020004000800160032,0.0,0.008201640328065612,0.00020004000800160032,0.0
game praise,0.0,0.0,0.0,0.00020004000800160032,0.0034006801360272052,0.00020004000800160032,0.00020004000800160032
game update feedback,0.00020004000800160032,0.001200240048009602,0.0,0.003200640128025605,0.0034006801360272052,0.002600520104020804,0.0008001600320064013
gaming app quality,0.0,0.00020004000800160032,0.0,0.0016003200640128026,0.004400880176035207,0.0,0.00020004000800160032
gem usage and acquisition,0.0,0.00020004000800160032,0.0,0.0018003600720144029,0.0022004400880176033,0.001200240048009602,0.0
general feedback,0.0,0.0,0.0,0.0030006001200240046,0.003200640128025605,0.00020004000800160032,0.00020004000800160032
gold pass purchase issues,0.00020004000800160032,0.0,0.0,0.00020004000800160032,0.0008001600320064013,0.000600120024004801,0.00040008001600320064
good game reviews,0.0,0.0,0.0,0.0058011602320464095,0.00020004000800160032,0.0,0.00040008001600320064
good gaming experience,0.0,0.0,0.0,0.0018003600720144029,0.0008001600320064013,0.0,0.0
high praise for game,0.00020004000800160032,0.0,0.0,0.0,0.0014002800560112022,0.0,0.0008001600320064013
legendary and rare games,0.00020004000800160032,0.00040008001600320064,0.0,0.000600120024004801,0.002400480096019204,0.00020004000800160032,0.0008001600320064013
long upgrade times,0.00040008001600320064,0.0,0.0,0.0018003600720144029,0.0036007201440288058,0.002000400080016003,0.000600120024004801
long-term gameplay experience,0.0,0.0,0.0,0.007801560312062412,0.0030006001200240046,0.00020004000800160032,0.0016003200640128026
love for app,0.0,0.0,0.0,0.00040008001600320064,0.0036007201440288058,0.0,0.00020004000800160032
network connection issues,0.0008001600320064013,0.0,0.00040008001600320064,0.0,0.0014002800560112022,0.004000800160032006,0.0014002800560112022
nice game reviews,0.0,0.0,0.0,0.028005601120224044,0.0010002000400080016,0.0,0.00020004000800160032
non-english reviews,0.00020004000800160032,0.0,0.00040008001600320064,0.0030006001200240046,0.010202040408081616,0.000600120024004801,0.0
nostalgia/reminiscing old times,0.0,0.0,0.0,0.0,0.0022004400880176033,0.000600120024004801,0.0
nostalgic feelings,0.0,0.0,0.0,0.00020004000800160032,0.000600120024004801,0.001200240048009602,0.0
pay to win criticism,0.00020004000800160032,0.0,0.00040008001600320064,0.0018003600720144029,0.000600120024004801,0.00040008001600320064,0.00020004000800160032
perfect satisfaction,0.0,0.0,0.0,0.0,0.002600520104020804,0.0,0.0
performance evaluation,0.0,0.001200240048009602,0.0,0.013602720544108821,0.0030006001200240046,0.00040008001600320064,0.00020004000800160032
personal health and emotions,0.0,0.0,0.0,0.000600120024004801,0.002000400080016003,0.000600120024004801,0.0
positive app experience,0.0,0.0,0.0,0.009601920384076815,0.0008001600320064013,0.00020004000800160032,0.0
positive app feedback,0.0,0.0,0.0,0.0018003600720144029,0.0,0.0,0.0010002000400080016
positive app reviews,0.0,0.0,0.0,0.0030006001200240046,0.00020004000800160032,0.0,0.0
positive emotions/reactions,0.00020004000800160032,0.00020004000800160032,0.0,0.001200240048009602,0.02500500100020004,0.00020004000800160032,0.0
positive enjoyment experience,0.0,0.0,0.0,0.004600920184036807,0.0016003200640128026,0.00040008001600320064,0.00020004000800160032
positive feedback,0.000600120024004801,0.00020004000800160032,0.0,0.016003200640128026,0.10062012402480495,0.00040008001600320064,0.001200240048009602
positive feedback/compliments,0.0,0.0,0.0,0.002000400080016003,0.004200840168033607,0.0,0.00020004000800160032
positive feedback/no problems,0.0,0.0,0.0,0.004200840168033607,0.0022004400880176033,0.0,0.0
