merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
"""amazing game experience""",17,0.5473882352941176,17.294117647058822,41.55067226890758,0.0,0.0,False
"""awesome game appreciation""",14,0.6434571428571428,18.785714285714285,71.86642857142859,0.0,0.0,False
"""best game played""",41,0.747639024390244,57.41463414634146,95.96733724753761,0.024390243902439025,0.0,False
"""best game praise""",12,0.6963499999999999,19.25,104.08023809523813,0.0,0.0,False
"""best game reviews""",107,0.6186028037383178,12.598130841121495,116.55451268357812,0.0,0.0,False
"""coc game appreciation""",23,0.3517869565217392,16.608695652173914,77.59596273291928,0.0,0.043478260869565216,False
"""cool game reviews""",11,0.4481090909090909,14.181818181818182,110.5659090909091,0.0,0.0,False
"""excellent"" or ""high praise""",14,0.0,6.357142857142857,120.85750000000003,0.0,0.0,False
"""fun and violent entertainment""",21,0.5003047619047619,19.238095238095237,89.9901098901099,0.0,0.0,False
"""game praise and acclaim""",12,0.17977500000000002,18.916666666666668,81.53069805194808,0.0,0.0,False
"""high praise for game""",66,0.6013727272727273,18.515151515151516,92.46699675324678,0.0,0.0,False
"""neutral or satisfactory responses""",39,0.2682051282051282,2.923076923076923,45.96794871794875,0.0,0.0,False
"""op""",11,0.0,2.0,121.22000000000003,0.0,0.0,False
"""patience in gaming""",28,0.5343964285714286,84.10714285714286,78.1679811955599,0.0,0.07142857142857142,False
"""positive game reviews""",20,0.50385,19.0,99.07800000000002,0.0,0.0,False
"""requests for global chat return""",21,0.30779047619047617,144.1904761904762,84.21146110377546,0.047619047619047616,0.42857142857142855,False
"""wow reactions""",20,0.59773,3.9,121.06775000000002,0.0,0.0,False
Unknown,762,0.35366391076115483,78.08267716535433,80.87727900037224,0.030183727034120734,0.08792650918635171,False
account issues/supercell support,139,-0.036032374100719425,149.84892086330936,72.80443141764822,0.09352517985611511,0.17266187050359713,True
ads and privacy concerns,14,0.46113571428571426,98.07142857142857,90.91331102219371,0.07142857142857142,0.14285714285714285,False
best game reviews,12,0.5767916666666667,18.083333333333332,110.66023809523813,0.0,0.08333333333333333,False
best gaming experience,44,0.5960272727272727,31.204545454545453,106.36679834537122,0.0,0.022727272727272728,False
best mobile game reviews,16,0.60159375,56.0625,86.86608387610866,0.0,0.0625,False
childhood nostalgia games,25,0.396916,38.44,74.71882611506143,0.0,0.0,False
clash of clans game,97,0.5839041237113403,175.659793814433,79.84740469953039,0.0,0.17525773195876287,False
coc game appreciation,23,0.6668869565217391,88.26086956521739,88.40290656615718,0.043478260869565216,0.043478260869565216,False
dislike for app icon/image,15,-0.13200666666666666,56.4,73.91615266106444,0.0,0.0,False
enjoyable and addictive game,42,0.816354761904762,94.76190476190476,85.02947258477803,0.0,0.047619047619047616,False
excellent game,12,0.5719,14.0,35.60500000000002,0.0,0.0,False
exciting and interesting game,38,0.5814236842105264,31.894736842105264,52.122649171004454,0.0,0.02631578947368421,False
favorite game,27,0.28676296296296294,25.555555555555557,80.23462842712844,0.0,0.0,False
fun experience,30,0.5098066666666667,3.433333333333333,121.15233333333336,0.0,0.0,False
fun rpg games,29,0.3946931034482759,14.413793103448276,80.02445812807883,0.0,0.0,False
game addiction,67,0.5240358208955224,70.01492537313433,71.77920211906736,0.014925373134328358,0.5970149253731343,False
game connection issues,25,-0.034992,124.6,60.19691943710286,0.0,0.0,False
game enjoyment,35,0.53284,21.085714285714285,109.06246289424863,0.0,0.0,False
