merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
App Updates and Events,0.0002,0.0008,0.0,0.006,0.0158,0.002,0.0004
Best Game Ever,0.0006,0.0006,0.0,0.0322,0.034,0.0006,0.0076
FPS Performance Concerns,0.0026,0.0016,0.0014,0.0792,0.0594,0.0146,0.0104
Mixed Reactions,0.0002,0.0008,0.0002,0.0316,0.0404,0.0004,0.001
Other,0.0104,0.007,0.002,0.1546,0.0852,0.041,0.0186
Player Appreciation,0.0,0.0002,0.0,0.0388,0.006,0.0,0.0004
Positive Feedback,0.0,0.0008,0.0002,0.021,0.0542,0.0042,0.0068
Positive Game Experience,0.0006,0.0014,0.0002,0.0594,0.0128,0.004,0.0034
Positive Praise,0.0002,0.0012,0.0002,0.0286,0.032,0.0006,0.0066
أفضل الألعاب,0.0012,0.0,0.003,0.0004,0.048,0.0002,0.0
