merged_topic_label,negative_proportion,total_reviews,pain_point_flag
App Updates and Events,0.11904761904761904,126,False
Best Game Ever,0.023809523809523808,378,False
FPS Performance Concerns,0.11938534278959811,846,False
Mixed Reactions,0.021447721179624665,373,False
Other,0.18946047678795483,1594,False
Player Appreciation,0.004405286343612335,227,False
Positive Feedback,0.05963302752293578,436,False
Positive Game Experience,0.07579462102689487,409,False
Positive Praise,0.03170028818443804,347,False
أفضل الألعاب,0.08333333333333333,264,False
