id,user,text,rating,likes,app_version,date,text_length,vader_sentiment,emotion,readability,contains_bug_keywords,contains_request_keywords,topic,topic_prob,merged_topic,merged_topic_label,pain_point
5cae3fdc-dbc8-481e-a131-18ba4e9d35e0,A Google user,I've been playing this game for 6 years now and to make the game better you should add new born baby's and pets into character creation or make it a perches is you need to make money off us that bad I would buy it,4,27,1.112,2025-07-25 16:10:05,213,0.3182,neutral,57.76000000000002,False,True,-1,0.0,,Unknown,False
b910246b-3cce-4797-b307-aa7bcf35a64b,A Google user,Great game so therapeutic,5,0,1.111,2025-07-25 16:01:03,25,0.6249,joy,54.72500000000002,False,False,1,0.7842538001429293,1.0,positive game reviews,False
e364f231-f90d-433e-a8a6-b6fe36b530be,A Google user,"I love the game a lot but why can we only do three characters for free? It kinda sad because I can't buy anything because of my account issues, and thank you for reading",4,0,,2025-07-25 15:37:25,169,0.7642,sadness,77.60941176470591,True,False,20,0.7735670069075995,18.0,desire for more free content,False
e3d2e0ff-69bc-4352-843e-b4191f9c1eff,A Google user,"this is a great app! However, when I transferred my app data to a new phone, half of the packs I had purchased disappeared. I can't find a way to recover these purchases, and nothing seems to get them back. I spent a lot of money on this game, so it's very frustrating for all that money to just disappear.",3,0,1.112,2025-07-25 15:19:24,306,-0.3503,sadness,80.22000000000003,False,False,3,0.5055675584951008,3.0,lost purchases on new device,True
1ad07875-9150-4984-aba5-e117fddc872c,A Google user,its a pretty good game but.When I first started playing it was lagging really bad and I lost all the stuff I started making had to start all over. there's not a lot of stuff u can do if u don't wanna buy anything so that kinda sucks.,2,0,1.112,2025-07-25 15:03:43,233,-0.4144,sadness,84.845,False,False,4,0.4722087067499854,4.0,in-app purchases,False
b44a37e0-b997-4614-935e-0aed137372e5,A Google user,It's okay ❤️😘,4,0,,2025-07-25 14:55:21,13,0.5719,neutral,77.90500000000002,False,False,-1,0.0,,Unknown,False
00c7901c-6605-4b74-9188-c37b5b84892d,A Google user,Why is everything expensive!!!!!!😠😠😠😠😠,2,0,1.112,2025-07-25 14:46:28,38,-0.9563,anger,33.57500000000002,False,False,-1,0.0,,Unknown,False
26578962-6aa7-445b-a6b2-1b30e97f1926,A Google user,AMAZING🤩🤩🤩 but i wish there was more free places🥲 PLEASE ADD MORE FREE PLACES,5,2,1.112,2025-07-25 14:45:37,77,0.977,joy,83.85357142857143,False,True,-1,0.0,,Unknown,False
cde720e5-372d-40b4-92b0-399bc4cfee08,A Google user,"My dad let me download this, I love it :)",5,0,1.111,2025-07-25 14:36:25,41,0.802,joy,103.70000000000002,False,False,6,0.2405192846605032,6.0,positive app reviews,False
553fd411-8841-4c64-b521-e85708da0524,A Google user,it's boring do not install it and the offer that ther is not real 😒👎,1,1,1.109,2025-07-25 14:34:01,68,-0.3182,sadness,89.89642857142859,False,False,-1,0.0,,Unknown,False
50e02aad-d9e3-4eec-8919-22c0b38a9d34,A Google user,it started to be i liltle boring ngl,3,0,1.111,2025-07-25 14:03:05,36,-0.3182,sadness,82.39000000000001,False,False,45,1.0,41.0,"""boring user experience""",True
7a0b038c-c029-464f-bef4-0263beac4967,A Google user,THEY RESPONDED IN THE WRONG WAY. It's not bugs or anything like that. It the fact that the characters have a BREATHING ANIMATION and when you move them THEY WALK. In my opinion I liked this game better when the characters stayed still. I love the collabs and all that but it's the animations that freak me out. I don't understand why you changed it at all because it was perfectly fine before all the animations. The update was unnecessary when the game was perfectly fine. This is just my opinion.,3,2,1.111,2025-07-25 13:56:13,498,0.9512,anger,76.2915728021978,True,False,41,1.0,38.0,character movement complaints,True
cc564e26-1a71-49da-8543-606fe355ff47,A Google user,I love this game I just wish u could return items,5,0,1.112,2025-07-25 13:37:13,49,0.7845,joy,95.68818181818183,False,False,-1,0.0,,Unknown,False
83fe2819-be5f-43fe-a03b-c5425e14d552,A Google user,I love the app .I it. And I'm 8 years old. but sometimes every few months it resets all the Furniture in the house and the outfits of characters. and I really don't like it. please fix it.,5,0,1.112,2025-07-25 13:33:15,188,-0.4452,sadness,92.25784210526318,False,True,-1,0.0,,Unknown,False
35a8f5a3-62ac-466f-9e64-4ab1a5052217,A Google user,i love it but can you add more baggy clothes since as a gen z i think it will heal my inner child and alsoo pls make the loading screen a bit faster since it literally took about 20-30seconds😣😣😣no offend i love all the dev here but please kindly do something since it's annoying when you accidentally pressed something and you have to wait 20-30 seconds and especially accidentally pressing the button of leaving the house which means you have to go through loading screen twice!,3,0,,2025-07-25 13:27:02,479,0.66,anger,3.465930232558165,False,True,37,0.8687211368341231,34.0,character clothing customization,False
fb2cf1ac-f537-4dda-89c2-fa13b7291c44,A Google user,i love this game so much and it is one of my favorites ❤️,4,0,1.112,2025-07-25 13:06:31,57,0.7906,joy,96.02461538461542,False,False,1,0.8703675796675377,1.0,positive game reviews,False
6d4f7b98-aa55-43d8-b04c-46a1991252ee,A Google user,it is so expensive and nice,4,0,,2025-07-25 12:47:00,27,0.4703,joy,87.94500000000002,False,False,30,1.0,27.0,price concerns,True
fb389c75-07ca-4612-a8f2-cb1c9c78ba9d,A Google user,great game! my only problem is the fact that you have to buy most of the stuff. but other than that it's a great game. :),4,0,1.111,2025-07-25 12:45:53,121,0.9125,joy,99.3955,False,False,4,0.4748079531848066,4.0,in-app purchases,False
ea3dc1fd-906f-4d1b-8d16-d3ff796adc34,A Google user,I like toca boca ☺️,4,1,1.112,2025-07-25 12:44:46,19,0.6705,joy,75.87500000000001,False,False,0,1.0,0.0,"""toca boca app features""",False
