merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
"""boring user experience""",0.0,0.0002,0.0,0.0004,0.0006,0.0032,0.0
"""fun app experience""",0.0,0.0,0.0,0.004,0.0,0.0002,0.0
"""fun game reviews""",0.0004,0.0,0.0,0.003,0.0,0.0,0.0
"""likes and preferences""",0.0002,0.0,0.0,0.0024,0.0,0.0002,0.0
"""megastar mansion issues""",0.0,0.0,0.0,0.0012,0.0008,0.0006,0.0002
"""no ads, offline gameplay""",0.0002,0.0,0.0,0.0026,0.0004,0.0002,0.0
"""requests for free houses""",0.001,0.0002,0.0,0.006,0.0004,0.0016,0.0004
"""toca boca app features""",0.005,0.0012,0.0006,0.0852,0.026,0.0226,0.0134
"""wow reactions""",0.0,0.0,0.0,0.0,0.0002,0.0,0.002
Unknown,0.016,0.0056,0.001,0.1586,0.0412,0.0508,0.021
account and device syncing,0.0002,0.0002,0.0,0.0014,0.0012,0.0004,0.0004
app aesthetics and design,0.0,0.0006,0.0,0.003,0.0004,0.0,0.0
app glitches/issues,0.0002,0.0,0.0,0.0018,0.0016,0.0008,0.0012
app quality and features,0.0002,0.0002,0.0,0.0064,0.0006,0.0012,0.0022
avatar world comparisons,0.0008,0.0008,0.0002,0.0038,0.0026,0.0006,0.0006
best game appreciation,0.0,0.0,0.0,0.0034,0.0,0.0002,0.0
best game ever,0.0,0.0,0.0002,0.0026,0.0022,0.0,0.0004
character clothing customization,0.0004,0.0,0.0,0.0032,0.0012,0.0,0.0004
character creation and customization,0.0,0.0,0.0,0.0066,0.0002,0.0002,0.0002
character movement complaints,0.0008,0.0008,0.0,0.0014,0.0004,0.001,0.0006
children's game reviews,0.0,0.0,0.0,0.0038,0.001,0.0002,0.0002
customizable design features,0.0,0.0,0.0,0.0014,0.0006,0.0,0.0
design and story creation,0.0,0.0,0.0,0.0022,0.0,0.0,0.0002
desire for more free content,0.0002,0.0,0.0,0.005,0.0002,0.0016,0.0006
download and storage issues,0.0006,0.0,0.0004,0.0006,0.0014,0.006,0.0008
emotional reactions,0.0,0.0,0.0,0.0004,0.0022,0.0002,0.0002
enjoyable and fun app,0.0,0.0,0.0,0.0032,0.0,0.0,0.0
expressing love and affection,0.0,0.0,0.0,0.003,0.0004,0.0008,0.0002
expressing love for app,0.0,0.0,0.0,0.0018,0.0036,0.001,0.0
extreme fun enjoyment,0.0,0.0,0.0,0.002,0.0,0.0,0.0002
extreme love for app,0.0,0.0,0.0,0.005,0.0006,0.0,0.0
foreign language reviews,0.0002,0.0004,0.001,0.001,0.0052,0.0008,0.0004
free game paywalls,0.0002,0.0,0.0,0.0012,0.0002,0.0004,0.0002
friday gift issues,0.0006,0.0,0.0,0.0018,0.0002,0.001,0.001
fun and creativity,0.0,0.0,0.0,0.0046,0.0,0.0004,0.0
fun entertainment,0.0,0.0,0.0,0.003,0.0,0.0,0.0
furniture in game,0.0,0.0002,0.0,0.0006,0.0004,0.001,0.0002
game bugs/issues,0.0002,0.0002,0.0002,0.0008,0.0006,0.0006,0.0
game resetting issues,0.0008,0.0002,0.0002,0.0014,0.0022,0.0034,0.0022
