merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
App Opening Issues,0.0006,0.0004,0.0004,0.0002,0.0076,0.0076,0.0008
Controller Support,0.0054,0.007,0.0004,0.0056,0.0332,0.0404,0.0068
Customer Affection,0.0006,0.001,0.0,0.035,0.0514,0.0004,0.0126
Fun and Entertainment,0.0008,0.0014,0.0,0.0318,0.0076,0.0004,0.0006
Gacha Pulls and Drop Rates,0.0276,0.022,0.0062,0.0848,0.1194,0.0804,0.0258
Game quality concerns,0.0006,0.01,0.001,0.0028,0.0054,0.003,0.0004
Injustice Game Feedback,0.0064,0.0012,0.0002,0.008,0.0098,0.0064,0.0014
Mixed Feelings,0.0004,0.0006,0.0004,0.0026,0.0306,0.0012,0.0008
Mobile Fighting Game,0.005,0.0052,0.0006,0.0914,0.0462,0.0136,0.0108
Positive Game Experience,0.0,0.0,0.0002,0.082,0.0214,0.0002,0.004
