merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
Enjoyment and Fun,0.002036659877800407,0.001629327902240326,0.0004073319755600815,0.05865580448065173,0.013238289205702648,0.0012219959266802445,0.0014256619144602852
Frequent Ads,0.0004073319755600815,0.002240325865580448,0.0004073319755600815,0.008757637474541752,0.016904276985743382,0.0028513238289205704,0.0012219959266802445
Great Strategy Games,0.002443991853360489,0.003054989816700611,0.0,0.0680244399185336,0.03584521384928717,0.014256619144602852,0.0054989816700610995
Loading/Opening Issues,0.0006109979633401223,0.0004073319755600815,0.00020366598778004074,0.005295315682281059,0.007331975560081467,0.008146639511201629,0.002036659877800407
Matchmaking Issues,0.010590631364562118,0.012423625254582484,0.0006109979633401223,0.02505091649694501,0.028920570264765785,0.014663951120162933,0.006313645621181262
Mixed Satisfaction,0.0,0.004480651731160896,0.00020366598778004074,0.0034623217922606924,0.0034623217922606924,0.0004073319755600815,0.0004073319755600815
Pay-to-Win Dynamics,0.0018329938900203666,0.0014256619144602852,0.00020366598778004074,0.003258655804480652,0.007128309572301426,0.002240325865580448,0.0
Pay-to-Win Frustration,0.02810590631364562,0.027087576374745417,0.002240325865580448,0.1034623217922607,0.12281059063136457,0.05234215885947047,0.0164969450101833
Positive Game Feedback,0.0006109979633401223,0.002036659877800407,0.0,0.10814663951120163,0.022606924643584523,0.0018329938900203666,0.005702647657841141
User Appreciation,0.000814663951120163,0.0026476578411405295,0.0,0.019144602851323828,0.08574338085539715,0.0004073319755600815,0.006109979633401222
