merged_topic_label,negative_proportion,total_reviews,pain_point_flag
2v2 matchmaking & balance,0.42105263157894735,19,True
Unknown,0.2844677137870855,1146,False
ad experience concerns,0.304635761589404,151,False
addictive gameplay,0.05970149253731343,67,False
brief acknowledgments,0.0,22,False
campaign and monetization,0.3202247191011236,178,False
casual game impressions,0.0,15,False
cheating and bots,0.5384615384615384,26,True
difficulty and challenge,0.10869565217391304,46,False
energy and recharge issues,0.5,16,True
enjoyable experience,0.017241379310344827,58,False
entertaining game,0.0,22,False
entertainment and fun,0.01818181818181818,110,False
episode release & payment,0.4166666666666667,12,True
favorite games,0.06666666666666667,30,False
frequent ads and offers,0.09090909090909091,11,False
fun gameplay,0.04310344827586207,116,False
game addiction,0.3870967741935484,31,False
game balance issues,0.5,18,True
game frustrations,0.2786885245901639,61,False
game graphics & nostalgia,0.0,19,False
game performance issues,0.21052631578947367,19,False
game quality,0.047619047619047616,21,False
gem rewards issue,0.3333333333333333,24,False
high cost and in-game purchases,0.19230769230769232,52,False
in-app purchases,0.4647887323943662,71,True
in-game purchases,0.631578947368421,19,True
loading and connection issues,0.4621212121212121,396,True
love for the game,0.0,17,False
magical game experience,0.0,18,False
map updates and features,0.23076923076923078,13,False
matchmaking & balance,0.5543478260869565,92,True
microtransactions concerns,0.3333333333333333,45,False
mixed experience,0.8333333333333334,18,True
mixed feedback,0.35294117647058826,34,False
mixed positive comments,0.006134969325153374,163,False
mixed positive reactions,0.0,12,False
mobile rts games,0.1388888888888889,36,False
money grabbing schemes,0.23529411764705882,17,False
multiplayer gameplay,0.07142857142857142,28,False
negative feedback,1.0,10,True
nostalgia for original game,0.22727272727272727,22,False
pay-to-play,0.3793103448275862,29,False
pay-to-win,0.24096385542168675,83,False
pay-to-win concerns,0.24369747899159663,119,False
pay-to-win dynamics,0.13333333333333333,15,False
pay-to-win frustration,0.24324324324324326,37,False
pay-to-win pvp,0.2727272727272727,33,False
paywall & monetization,0.2857142857142857,14,False
paywalls and in-app purchases,0.2857142857142857,28,False
player appreciation,0.0,57,False
positive experiences,0.0,53,False
positive feedback,0.03571428571428571,168,False
positive game experience,0.03389830508474576,118,False
positive game feedback,0.009216589861751152,434,False
positive greetings,0.0,17,False
positive praise,0.022988505747126436,87,False
positive vibes,0.0,15,False
review removal and feedback issues,0.3076923076923077,13,False
star ratings and reviews,0.275,40,False
strategic fun games,0.0,21,False
strategic gameplay,0.07692307692307693,26,False
strategy and optimization,0.03125,32,False
strategy games,0.08695652173913043,23,False
time-passing games,0.047619047619047616,42,False
top strategy game,0.0,20,False
tower defense games,0.0,14,False
ultimate tennis experience,0.06896551724137931,29,False
unique hero abilities,0.0,16,False
user appreciation,0.018867924528301886,53,False
донаты и реклама,0.047619047619047616,21,False
مراجعات اللعبة,0.047619047619047616,42,False
