merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
2v2 matchmaking & balance,19,0.13683157894736842,196.94736842105263,83.44927147813574,0.10526315789473684,0.21052631578947367,True
Unknown,1146,0.3831733856893543,143.3787085514834,80.14237425518905,0.04013961605584642,0.07853403141361257,False
ad experience concerns,151,0.2710841059602649,118.10596026490066,82.84392000263279,0.052980132450331126,0.0728476821192053,False
addictive gameplay,67,0.45493582089552237,72.14925373134328,67.86325157613574,0.014925373134328358,0.9104477611940298,False
brief acknowledgments,22,0.30887272727272724,2.9545454545454546,44.7211363636364,0.0,0.0,False
campaign and monetization,178,0.298823595505618,154.13483146067415,80.14619305023227,0.016853932584269662,0.056179775280898875,False
casual game impressions,15,0.29123333333333334,9.933333333333334,103.21733333333334,0.0,0.0,False
cheating and bots,26,-0.28723076923076923,172.69230769230768,77.51611857641123,0.038461538461538464,0.038461538461538464,True
difficulty and challenge,46,0.5017282608695652,42.91304347826087,54.34202699827887,0.0,0.021739130434782608,False
energy and recharge issues,16,0.60246875,180.5625,66.64237526944736,0.1875,0.25,True
enjoyable experience,58,0.4462068965517242,4.448275862068965,119.48137931034486,0.0,0.0,False
entertaining game,22,0.52945,20.454545454545453,73.28081168831172,0.0,0.0,False
entertainment and fun,110,0.5831354545454546,14.645454545454545,58.17578571428573,0.00909090909090909,0.0,False
episode release & payment,12,0.21983333333333333,174.0,81.54817093940231,0.08333333333333333,0.0,True
favorite games,30,0.6008133333333333,19.333333333333332,106.6268787878788,0.0,0.03333333333333333,False
frequent ads and offers,11,0.32032727272727274,35.81818181818182,95.71306375442741,0.0,0.9090909090909091,False
fun gameplay,116,0.5587000000000001,21.0,104.2788855110407,0.0,0.0,False
game addiction,31,0.16601612903225807,21.483870967741936,-5.867139899948227,0.0,0.8709677419354839,False
game balance issues,18,0.16541666666666666,122.05555555555556,81.77026468657571,0.05555555555555555,0.0,True
game frustrations,61,0.21145245901639345,174.04918032786884,77.90261950363167,0.06557377049180328,0.14754098360655737,False
game graphics & nostalgia,19,0.8347105263157895,80.63157894736842,73.66631019908885,0.0,0.05263157894736842,False
game performance issues,19,0.03277894736842105,111.21052631578948,50.53167446588501,0.0,0.05263157894736842,False
game quality,21,0.13810952380952382,72.0952380952381,85.44156826145094,0.0,0.0,False
gem rewards issue,24,0.17490833333333333,64.45833333333333,97.6723042643631,0.0,0.041666666666666664,False
high cost and in-game purchases,52,0.3526096153846154,52.42307692307692,82.17624064832754,0.0,0.0,False
in-app purchases,71,0.17313098591549295,154.59154929577466,76.58496779056321,0.028169014084507043,0.09859154929577464,True
in-game purchases,19,0.2985421052631579,217.8421052631579,65.82017278739883,0.0,0.05263157894736842,True
loading and connection issues,396,0.10982424242424242,113.58838383838383,78.71460427096132,0.23232323232323232,0.10606060606060606,True
love for the game,17,0.650464705882353,18.647058823529413,114.51050420168067,0.0,0.0,False
magical game experience,18,0.49970555555555557,8.555555555555555,71.19333333333336,0.0,0.0,False
map updates and features,13,0.4102,121.46153846153847,89.74181674766902,0.07692307692307693,0.07692307692307693,False
matchmaking & balance,92,0.07920652173913044,238.20652173913044,72.93369083484231,0.13043478260869565,0.13043478260869565,True
microtransactions concerns,45,0.3631311111111111,161.75555555555556,63.4635454419693,0.022222222222222223,0.06666666666666667,False
mixed experience,18,0.4022388888888889,13.944444444444445,99.22444444444446,0.0,0.0,True
mixed feedback,34,-0.004541176470588236,6.970588235294118,103.62323529411768,0.029411764705882353,0.0,False
mixed positive comments,163,0.4392840490797546,4.45398773006135,120.35429447852763,0.0,0.0,False
mixed positive reactions,12,0.0,6.333333333333333,57.60083333333336,0.0,0.0,False
mobile rts games,36,0.6095861111111112,148.27777777777777,87.64603044705899,0.027777777777777776,0.05555555555555555,False
money grabbing schemes,17,0.16497647058823528,38.11764705882353,80.80928571428574,0.0,0.0,False
multiplayer gameplay,28,0.6882678571428571,120.10714285714286,68.0089737875614,0.0,0.10714285714285714,False
negative feedback,10,-0.5168,14.1,96.61500000000002,0.0,0.0,True
nostalgia for original game,22,0.5457863636363637,78.0909090909091,89.11217474023611,0.0,0.0,False
pay-to-play,29,0.20069310344827587,51.55172413793103,97.48235080708767,0.0,0.0,False
pay-to-win,83,0.48191807228915656,117.49397590361446,98.54453781929364,0.0,0.012048192771084338,False
pay-to-win concerns,119,0.43308151260504196,87.67226890756302,89.25279632809155,0.01680672268907563,0.05042016806722689,False
pay-to-win dynamics,15,0.2935866666666667,79.8,87.21816106934004,0.0,0.06666666666666667,False
pay-to-win frustration,37,0.4826621621621621,148.2972972972973,83.07961995370434,0.0,0.02702702702702703,False
pay-to-win pvp,33,0.4430787878787879,175.84848484848484,79.52289209616286,0.06060606060606061,0.0,False
paywall & monetization,14,0.29505,136.28571428571428,77.58235232280367,0.0,0.0,False
paywalls and in-app purchases,28,0.2993,145.35714285714286,80.80038388410206,0.0,0.03571428571428571,False
player appreciation,57,0.6908280701754387,26.42105263157895,107.03944147957309,0.0,0.0,False
positive experiences,53,0.6081094339622641,5.547169811320755,102.04613207547173,0.0,0.0,False
positive feedback,168,0.4387464285714286,9.970238095238095,101.47178339517627,0.0,0.0,False
positive game experience,118,0.37593050847457626,12.694915254237289,47.477863196125924,0.0,0.0,False
positive game feedback,434,0.49955576036866356,12.366359447004609,111.94724109991392,0.0,0.002304147465437788,False
positive greetings,17,0.5306941176470589,5.529411764705882,121.10058823529414,0.0,0.0,False
positive praise,87,0.4803551724137931,8.735632183908047,12.780344827586239,0.0,0.0,False
positive vibes,15,0.3182,4.466666666666667,121.08466666666669,0.0,0.0,False
review removal and feedback issues,13,-0.14248461538461538,153.3846153846154,74.36302257142209,0.07692307692307693,0.0,False
star ratings and reviews,40,0.38363749999999996,198.6,83.16885322781003,0.1,0.1,False
strategic fun games,21,0.5455142857142857,36.95238095238095,65.40973076923079,0.0,0.0,False
strategic gameplay,26,0.5174346153846154,33.92307692307692,46.489863206968494,0.0,0.0,False
strategy and optimization,32,0.477075,27.5,61.70157061688314,0.0,0.03125,False
strategy games,23,0.6543695652173913,130.30434782608697,68.15925548574134,0.0,0.17391304347826086,False
time-passing games,42,0.35078333333333334,37.30952380952381,90.69633872796433,0.0,0.0,False
top strategy game,20,0.764355,47.95,68.21980681818184,0.0,0.0,False
tower defense games,14,0.4998857142857143,94.0,71.77463949298867,0.0,0.21428571428571427,False
ultimate tennis experience,29,0.5411,24.103448275862068,90.30437527989255,0.0,0.0,False
unique hero abilities,16,0.8273625,93.625,58.552335859445016,0.0,0.0,False
user appreciation,53,0.6230943396226415,9.056603773584905,115.08068610634649,0.0,0.0,False
донаты и реклама,21,-0.031804761904761905,104.95238095238095,114.02641283236223,0.0,0.0,False
مراجعات اللعبة,42,0.0709,32.666666666666664,113.31454365079368,0.023809523809523808,0.0,False
