merged_topic_label,negative_proportion,total_reviews,pain_point_flag
"""amazing app experience""",0.0,27,False
"""awesome app feedback""",0.0,29,False
"""best app praise""",0.06818181818181818,44,False
"""cool"" appreciation",0.0,11,False
"""fun and amusing experience""",0.15,20,False
"""game appreciation""",0.038461538461538464,26,False
"""high praise for app""",0.0,13,False
"""high quality learning app""",0.0425531914893617,47,False
"""khan academy kids app""",0.03056768558951965,229,False
"""no ads in app""",0.038461538461538464,52,False
"""perfect app satisfaction""",0.0,22,False
"""useful and helpful apps""",0.0625,16,False
Unknown,0.06318082788671024,1377,False
amazing kids apps,0.0,21,False
app download and appreciation,0.1111111111111111,18,False
app enjoyed by children,0.0,20,False
app for kids,0.0,39,False
app for young children,0.07407407407407407,27,False
app login/registration issues,0.5720720720720721,222,True
app loved by kids,0.0,27,False
app performance feedback,0.037037037037037035,27,False
app quality evaluation,0.03571428571428571,28,False
appreciation for app,0.0,41,False
appreciation/gratitude,0.0,22,False
best educational apps for kids,0.007407407407407408,135,False
best kids apps,0.02040816326530612,49,False
child education apps,0.07317073170731707,41,False
child's learning experience,0.055,200,False
children enjoying app,0.03571428571428571,28,False
children's app reviews,0.0,36,False
children's book library app,0.05555555555555555,18,False
children's gaming experience,0.06521739130434782,46,False
children's learning application,0.0,12,False
children's learning improvement,0.0,14,False
connectivity issues,0.25,36,False
early learning experience,0.0,31,False
easy to use educational app,0.0,20,False
educational app for kids,0.0,26,False
educational app reviews,0.0,21,False
educational application for kids,0.0,19,False
educational children's app,0.07142857142857142,14,False
educational content,0.041666666666666664,24,False
educational fun for kids,0.0,16,False
educational learning tools,0.0,35,False
educational level difficulty,0.041666666666666664,24,False
educational program progression,0.0,10,False
emojis/non-textual reviews,0.021739130434782608,46,False
engaging educational content,0.0,29,False
excellent app feedback,0.0,70,False
excellent app praise,0.0,13,False
free app appreciation,0.06896551724137931,29,False
free educational apps,0.0,15,False
free learning games,0.02564102564102564,39,False
fun and educational,0.0,27,False
good for children's development,0.09090909090909091,11,False
good for kids,0.0,27,False
good kids' app,0.0,37,False
great kids' app,0.0,28,False
halloween theme concerns,0.6111111111111112,18,True
helpful app feedback,0.0,24,False
helpful for kids,0.02,50,False
highly recommended choices,0.0,11,False
homeschooling app experience,0.0,15,False
homeschooling tools and resources,0.0,25,False
impressive features,0.0,15,False
initial user impressions,0.0,21,False
kid-friendly educational apps,0.0,13,False
kids love the app,0.024390243902439025,41,False
kids love this app,0.03333333333333333,30,False
kids loving the app,0.0,15,False
language learning app,0.0,29,False
language options,0.15217391304347827,46,False
learning progress,0.0,10,False
mixed app reactions,0.04,50,False
multilingual learning apps,0.1388888888888889,36,False
negative feedback,0.8333333333333334,12,True
positive app feedback,0.015873015873015872,189,False
positive app praise,0.2,20,False
positive app reviews,0.007692307692307693,130,False
positive experience feedback,0.05555555555555555,18,False
positive feedback,0.01694915254237288,177,False
positive feedback/reactions,0.02857142857142857,35,False
positive performance evaluation,0.021739130434782608,46,False
positive reviews,0.0078125,128,False
positive sentiments,0.16666666666666666,12,False
praise and admiration,0.07142857142857142,14,False
praise for app quality,0.0,30,False
product satisfaction,0.04878048780487805,41,False
rating the app,0.11764705882352941,17,False
reading enjoyment and rewards,0.0,10,False
super high performance,0.0,14,False
usefulness of app,0.07407407407407407,27,False
