merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
"""app for kids learning""",0.0004,0.0004,0.0002,0.0348,0.0042,0.0006,0.0034
"""appreciation for details""",0.0,0.0,0.0,0.0002,0.002,0.0,0.0
"""best game ever""",0.0,0.0008,0.0,0.0044,0.0022,0.0002,0.0002
"""boring gameplay complaints""",0.0002,0.0006,0.0,0.0006,0.0006,0.0012,0.0002
"""cool app feedback""",0.0,0.0002,0.0,0.0038,0.0008,0.0,0.0
"""cool"" reactions",0.0,0.0,0.0,0.0016,0.0066,0.0,0.0
"""daniel tiger app experience""",0.0002,0.0006,0.0,0.0012,0.0006,0.0,0.0
"""enjoyable user experience""",0.0,0.0,0.0,0.0058,0.0,0.0,0.0
"""expressing love for app""",0.0,0.0,0.0,0.0036,0.0,0.0,0.0
"""love for game apps""",0.0,0.0,0.0,0.0022,0.0004,0.0,0.0
"""pbs app functionality issues""",0.0008,0.0004,0.0006,0.0004,0.003,0.0026,0.0004
"""pbs app praise""",0.0,0.0002,0.0,0.0008,0.0016,0.0002,0.0
"""pbs kids app feedback""",0.0002,0.0,0.0,0.0068,0.004,0.0,0.0016
"""pbs kids app reviews""",0.0,0.0,0.0,0.0018,0.0016,0.0,0.0002
"""pbs kids appreciation""",0.0002,0.0002,0.0,0.01,0.0004,0.0004,0.0002
"""pbs kids games feedback""",0.0002,0.0,0.0,0.0144,0.004,0.0006,0.0
"""scribbles and ink app""",0.0,0.0002,0.0,0.0018,0.0006,0.0004,0.0002
Unknown,0.0134,0.0106,0.0018,0.0992,0.1002,0.0474,0.0156
affirmative responses,0.0002,0.0,0.0,0.0002,0.0064,0.0,0.0
app compatibility with chromebook,0.0002,0.0,0.0002,0.0,0.0014,0.0038,0.0006
app crashing issues,0.001,0.0,0.0002,0.0,0.0014,0.0054,0.0004
app for young children,0.0,0.0,0.0,0.0018,0.0004,0.0,0.0
app freezing and glitches,0.0002,0.0,0.0,0.0004,0.0022,0.0034,0.0006
app freezing/loading issues,0.0006,0.0006,0.0002,0.0002,0.0004,0.0018,0.0004
app functionality issues,0.0008,0.0002,0.0,0.0006,0.002,0.0064,0.001
app glitches/bugs,0.0002,0.0006,0.0002,0.0004,0.0022,0.0022,0.0008
app loading issues,0.0012,0.0004,0.0,0.0,0.0058,0.008,0.0004
app opening issues,0.0004,0.0002,0.0,0.0,0.0008,0.0018,0.0002
app opening/login issues,0.0004,0.0,0.0,0.0,0.0016,0.0016,0.0004
app quality feedback,0.0,0.0004,0.0,0.0024,0.0008,0.0004,0.0002
app star ratings,0.0,0.0,0.0,0.0004,0.0018,0.0006,0.0
app won't open,0.0004,0.0002,0.0,0.0,0.0022,0.0052,0.0006
appreciation and love for app,0.0,0.0,0.0,0.0068,0.0018,0.0002,0.0
appreciation for app,0.0,0.0,0.0,0.0042,0.0004,0.0,0.0
audio/sound issues,0.0,0.0,0.0006,0.0,0.0022,0.0036,0.0006
children's approval,0.0004,0.0,0.0,0.0074,0.001,0.0006,0.0002
children's tv shows,0.0,0.0002,0.0,0.001,0.005,0.0,0.0002
daily life and responsibilities,0.0002,0.0,0.0,0.0026,0.002,0.0008,0.0
dates and miscellaneous terms,0.0,0.0,0.0,0.0004,0.002,0.0,0.0
dislike and retirement of app,0.0,0.0022,0.0,0.0002,0.0002,0.0004,0.0
download and install issues,0.0002,0.0002,0.0,0.0,0.0016,0.0026,0.0004
download and storage issues,0.0012,0.0008,0.0,0.0002,0.0078,0.0046,0.0026
educational games for kids,0.0014,0.0014,0.0008,0.0452,0.0092,0.0018,0.0024
educational learning tools,0.0002,0.0002,0.0,0.0076,0.005,0.0002,0.0002
educational value,0.0,0.0004,0.0006,0.0018,0.0016,0.0,0.0
enjoyment of games,0.0,0.0,0.0,0.008,0.0004,0.0,0.0
expressions of gratitude,0.0,0.0,0.0,0.0006,0.0038,0.0,0.0
expressions of love,0.0,0.0002,0.0,0.0006,0.0026,0.0006,0.0
free games availability,0.0,0.0,0.0,0.0004,0.0016,0.0,0.0
fun and educational apps,0.0,0.0,0.0,0.0038,0.0,0.0,0.0
fun experience,0.0,0.0,0.0,0.0074,0.0002,0.0002,0.0
fun gaming experience,0.0,0.0,0.0,0.0036,0.0,0.0,0.0
fun learning for kids,0.0,0.0,0.0,0.003,0.0,0.0002,0.0002
fun stress relief,0.0,0.0,0.0,0.0078,0.0014,0.0004,0.0002
game dislike and visual issues,0.0012,0.0002,0.0,0.0002,0.0002,0.0006,0.0
game loading issues,0.0002,0.0,0.0,0.0004,0.0028,0.0032,0.0002
general feedback,0.0,0.0,0.0,0.0012,0.0016,0.0004,0.0002
general positive feedback,0.0,0.0004,0.0,0.001,0.0022,0.0,0.0004
good for kids,0.0,0.0,0.0002,0.0044,0.0004,0.0002,0.0
good game reviews,0.0,0.0,0.0,0.0022,0.0012,0.0002,0.0
great app praise,0.0,0.0,0.0002,0.0018,0.0006,0.0,0.0
great for kids,0.0002,0.0,0.0,0.007,0.0018,0.0,0.001
incomprehensible reviews,0.0004,0.0002,0.0004,0.0006,0.0216,0.0,0.0
kids love app,0.0,0.0,0.0,0.003,0.0012,0.0002,0.0
kids love it,0.0,0.0,0.0,0.0048,0.0,0.0,0.0004
limited number of games,0.0002,0.0002,0.0002,0.0004,0.0042,0.0004,0.0006
love for the game,0.0,0.0,0.0,0.006,0.0002,0.0,0.0
loving the app,0.0,0.0,0.0,0.0004,0.0076,0.0,0.0
negative feedback,0.0028,0.0,0.0,0.0,0.0006,0.0,0.0
negative reviews,0.0004,0.0038,0.0,0.0,0.002,0.0,0.0002
negative user experience,0.0,0.0018,0.0016,0.0,0.0002,0.001,0.0
neutral/mixed feedback,0.0008,0.0004,0.0,0.0002,0.0024,0.0002,0.0
no ads in free games,0.0,0.0,0.0,0.0032,0.0016,0.0002,0.0002
non-verbal reactions,0.0,0.0018,0.0,0.0004,0.003,0.0006,0.002
pbs network appreciation,0.0002,0.0,0.0,0.0022,0.0006,0.0,0.0004
positive affirmations,0.0,0.0,0.0,0.0022,0.0002,0.0,0.0
positive app feedback,0.0,0.0,0.0,0.0028,0.0004,0.0,0.0
positive app reviews,0.0002,0.0,0.0,0.004,0.0038,0.0002,0.0004
positive feedback,0.0,0.0002,0.0,0.021,0.0152,0.0002,0.0046
positive feedback with glitches,0.0,0.0,0.0,0.002,0.0,0.0,0.0002
positive feedback/reactions,0.0,0.0,0.0,0.0024,0.001,0.0,0.0
positive game reviews,0.0002,0.0,0.0,0.011,0.0006,0.001,0.0006
positive reactions,0.0,0.0,0.0,0.0076,0.006,0.0,0.0024
quantity of games,0.0,0.0,0.0,0.0,0.0016,0.0,0.0006
rating and stars,0.0002,0.0,0.0,0.0032,0.006,0.001,0.0
slow loading and lag issues,0.0,0.0004,0.0,0.0004,0.0038,0.0024,0.0
usernames or personal names,0.0002,0.0012,0.0004,0.0006,0.0288,0.0006,0.001
wifi requirement issues,0.0002,0.0,0.0,0.0012,0.0006,0.0008,0.0002
wild kratts games,0.0004,0.0002,0.0,0.0034,0.0016,0.0006,0.0
