merged_topic_label,negative_proportion,total_reviews,pain_point_flag
"""app for kids learning""",0.03636363636363636,220,False
"""appreciation for details""",0.0,11,False
"""best game ever""",0.1282051282051282,39,False
"""boring gameplay complaints""",0.5882352941176471,17,True
"""cool app feedback""",0.041666666666666664,24,False
"""cool"" reactions",0.0,41,False
"""daniel tiger app experience""",0.3076923076923077,13,False
"""enjoyable user experience""",0.0,29,False
"""expressing love for app""",0.0,18,False
"""love for game apps""",0.0,13,False
"""pbs app functionality issues""",0.5365853658536586,41,True
"""pbs app praise""",0.14285714285714285,14,False
"""pbs kids app feedback""",0.015873015873015872,63,False
"""pbs kids app reviews""",0.0,18,False
"""pbs kids appreciation""",0.07017543859649122,57,False
"""pbs kids games feedback""",0.041666666666666664,96,False
"""scribbles and ink app""",0.1875,16,False
Unknown,0.2539902845246357,1441,False
affirmative responses,0.029411764705882353,34,False
app compatibility with chromebook,0.6774193548387096,31,True
app crashing issues,0.7857142857142857,42,True
app for young children,0.0,11,False
app freezing and glitches,0.5294117647058824,34,True
app freezing/loading issues,0.7619047619047619,21,True
app functionality issues,0.6727272727272727,55,True
app glitches/bugs,0.48484848484848486,33,True
app loading issues,0.6075949367088608,79,True
app opening issues,0.7058823529411765,17,True
app opening/login issues,0.5,20,True
app quality feedback,0.19047619047619047,21,False
app star ratings,0.21428571428571427,14,False
app won't open,0.6744186046511628,43,True
appreciation and love for app,0.022727272727272728,44,False
appreciation for app,0.0,23,False
audio/sound issues,0.6,35,True
children's approval,0.10416666666666667,48,False
children's tv shows,0.03125,32,False
daily life and responsibilities,0.17857142857142858,28,False
dates and miscellaneous terms,0.0,12,False
dislike and retirement of app,0.8666666666666667,15,True
download and install issues,0.6,25,True
download and storage issues,0.38372093023255816,86,False
educational games for kids,0.08681672025723473,311,False
educational learning tools,0.04477611940298507,67,False
educational value,0.22727272727272727,22,False
enjoyment of games,0.0,42,False
expressions of gratitude,0.0,22,False
expressions of love,0.2,20,False
free games availability,0.0,10,False
fun and educational apps,0.0,19,False
fun experience,0.02564102564102564,39,False
fun gaming experience,0.0,18,False
fun learning for kids,0.058823529411764705,17,False
fun stress relief,0.04081632653061224,49,False
game dislike and visual issues,0.8333333333333334,12,True
game loading issues,0.5,34,True
general feedback,0.11764705882352941,17,False
general positive feedback,0.1,20,False
good for kids,0.07692307692307693,26,False
good game reviews,0.05555555555555555,18,False
great app praise,0.07692307692307693,13,False
great for kids,0.02,50,False
incomprehensible reviews,0.04310344827586207,116,False
kids love app,0.045454545454545456,22,False
kids love it,0.0,26,False
limited number of games,0.16129032258064516,31,False
love for the game,0.0,31,False
loving the app,0.0,40,False
negative feedback,0.8235294117647058,17,True
negative reviews,0.65625,32,True
negative user experience,0.9565217391304348,23,True
neutral/mixed feedback,0.35,20,False
no ads in free games,0.038461538461538464,26,False
non-verbal reactions,0.3076923076923077,39,False
pbs network appreciation,0.058823529411764705,17,False
positive affirmations,0.0,12,False
positive app feedback,0.0,16,False
positive app reviews,0.046511627906976744,43,False
positive feedback,0.009708737864077669,206,False
positive feedback with glitches,0.0,11,False
positive feedback/reactions,0.0,17,False
positive game reviews,0.08955223880597014,67,False
positive reactions,0.0,80,False
quantity of games,0.0,11,False
rating and stars,0.11538461538461539,52,False
slow loading and lag issues,0.4,35,False
usernames or personal names,0.07317073170731707,164,False
wifi requirement issues,0.3333333333333333,15,False
wild kratts games,0.1935483870967742,31,False
