merged_topic_label,anger,disgust,fear,joy,neutral,sadness,surprise
"""appreciation and criticism""",0.00020004000800160032,0.0,0.0,0.0,0.0028005601120224045,0.0,0.0
"""appreciation for kids' app""",0.0,0.0,0.0,0.0022004400880176033,0.000600120024004801,0.00020004000800160032,0.0
"""awesome app feedback""",0.0,0.0,0.0,0.0016003200640128026,0.00020004000800160032,0.0,0.00040008001600320064
"""best app praise""",0.0,0.0,0.0,0.00040008001600320064,0.004600920184036807,0.0,0.00040008001600320064
"""boring game experience""",0.0,0.0014002800560112022,0.0,0.00040008001600320064,0.00020004000800160032,0.0018003600720144029,0.0
"""coolness reactions""",0.0,0.00020004000800160032,0.0,0.0030006001200240046,0.0010002000400080016,0.00020004000800160032,0.00020004000800160032
"""fun experience""",0.0,0.0,0.0,0.0072014402880576115,0.0,0.0,0.0
"""interesting educational experience""",0.0,0.0,0.0,0.0008001600320064013,0.000600120024004801,0.0,0.0014002800560112022
"""positive app reviews""",0.0,0.00020004000800160032,0.0,0.002000400080016003,0.000600120024004801,0.0,0.000600120024004801
"""request for additional features""",0.0,0.0,0.0,0.0018003600720144029,0.002400480096019204,0.00040008001600320064,0.0
"""request for mobile scratch app""",0.00020004000800160032,0.0,0.0,0.00020004000800160032,0.0036007201440288058,0.000600120024004801,0.00040008001600320064
"""request for more pages""",0.0,0.00020004000800160032,0.0,0.000600120024004801,0.002600520104020804,0.00040008001600320064,0.0010002000400080016
"""scratch jr app reviews""",0.0,0.0,0.0,0.0014002800560112022,0.00040008001600320064,0.0,0.00040008001600320064
"""scratch junior coding app""",0.0,0.0,0.0,0.0014002800560112022,0.0014002800560112022,0.0,0.00020004000800160032
Unknown,0.009001800360072015,0.013802760552110422,0.004200840168033607,0.07741548309661932,0.09281856371274255,0.028405681136227247,0.017203440688137627
age mentioned in reviews,0.00020004000800160032,0.0,0.00020004000800160032,0.001200240048009602,0.000600120024004801,0.0,0.0010002000400080016
animation creation,0.0,0.00020004000800160032,0.0,0.004400880176035207,0.004000800160032006,0.0,0.0
app functionality issues,0.00020004000800160032,0.00020004000800160032,0.0,0.00020004000800160032,0.002000400080016003,0.006001200240048009,0.0
app improvement suggestions,0.0,0.0,0.0,0.0018003600720144029,0.007801560312062412,0.00020004000800160032,0.00020004000800160032
app performance issues,0.0,0.0008001600320064013,0.0,0.00020004000800160032,0.0016003200640128026,0.001200240048009602,0.00020004000800160032
app quality and realism,0.0,0.0,0.00020004000800160032,0.0028005601120224045,0.0008001600320064013,0.00020004000800160032,0.0008001600320064013
app quality feedback,0.0,0.0,0.0,0.01240248049609922,0.0016003200640128026,0.000600120024004801,0.0008001600320064013
app quality opinions,0.0,0.0,0.0,0.000600120024004801,0.007401480296059212,0.0,0.0
