merged_topic_label,negative_proportion,total_reviews,pain_point_flag
"""appreciation and criticism""",0.06666666666666667,15,False
"""appreciation for kids' app""",0.06666666666666667,15,False
"""awesome app feedback""",0.0,11,False
"""best app praise""",0.0,27,False
"""boring game experience""",0.8421052631578947,19,True
"""coolness reactions""",0.08695652173913043,23,False
"""fun experience""",0.0,36,False
"""interesting educational experience""",0.0,14,False
"""positive app reviews""",0.058823529411764705,17,False
"""request for additional features""",0.08695652173913043,23,False
"""request for mobile scratch app""",0.16,25,False
"""request for more pages""",0.125,24,False
"""scratch jr app reviews""",0.0,11,False
"""scratch junior coding app""",0.0,15,False
Unknown,0.22817133443163098,1214,False
age mentioned in reviews,0.125,16,False
animation creation,0.023255813953488372,43,False
app functionality issues,0.7441860465116279,43,True
app improvement suggestions,0.02,50,False
app performance issues,0.5,20,True
app quality and realism,0.08333333333333333,24,False
app quality feedback,0.03896103896103896,77,False
app quality opinions,0.0,40,False
app usability and features,0.1111111111111111,63,False
app usefulness and helpfulness,0.07142857142857142,14,False
appreciation for app,0.047619047619047616,21,False
audio and play issues,0.875,16,True
audio recording issues,0.2222222222222222,18,False
best game reviews,0.17857142857142858,28,False
block modification requests,0.16666666666666666,12,False
cat issues,0.16666666666666666,12,False
character creation and scene design,0.21052631578947367,19,False
children's app feedback,0.07692307692307693,91,False
children's games,0.1111111111111111,36,False
chromebook compatibility issues,0.4583333333333333,24,True
comparing to scratch,0.2,100,False
deleting sprites/characters,0.6071428571428571,28,True
difficulty using maps,0.08333333333333333,12,False
download and installation issues,0.4406779661016949,59,True
drawing and painting issues,0.4111111111111111,90,True
ease of use,0.3,30,False
educational apps for kids,0.11842105263157894,152,False
excitement about coding,0.0,19,False
expressions of excitement,0.07692307692307693,26,False
expressions of surprise,0.021739130434782608,46,False
fun and easy gameplay,0.0,29,False
game appreciation,0.0,43,False
game creation and storytelling,0.0945945945945946,74,False
game creation capability,0.20930232558139536,43,False
game enjoyment reviews,0.06593406593406594,91,False
game quality and enjoyment,0.05555555555555555,108,False
general positive feedback,0.0,21,False
general responses,0.07407407407407407,27,False
glitch and performance issues,0.6111111111111112,18,True
incoherent reviews,0.17857142857142858,28,False
incomprehensible reviews,0.06293706293706294,143,False
learning coding for beginners,0.058823529411764705,51,False
learning coding/programming,0.07058823529411765,85,False
mixed emotions,0.0,18,False
negative app experience,1.0,11,True
negative app reviews,1.0,11,True
negative experiences,1.0,12,True
negative reactions/feedback,0.71875,32,True
negative reviews,0.9411764705882353,34,True
negative user experience,0.9545454545454546,22,True
photo upload issues,0.3125,16,False
playing games at school,0.06896551724137931,29,False
playing games on devices,0.14285714285714285,21,False
poop related reviews,0.2727272727272727,11,False
poor quality app,0.8181818181818182,22,True
positive affection for app,0.043478260869565216,23,False
positive affirmation,0.0,41,False
positive app experience,0.0,19,False
positive app feedback,0.0,27,False
positive app reviews,0.01875,160,False
positive feedback,0.008064516129032258,248,False
positive feedback/ love for app,0.05128205128205128,39,False
positive feedback/appreciation,0.06666666666666667,15,False
positive feedback/compliments,0.017857142857142856,56,False
positive feedback/reactions,0.04,25,False
positive game reviews,0.0,40,False
positive reaction,0.0,22,False
positive reactions,0.09848484848484848,132,False
positive reviews,0.07142857142857142,14,False
preference for non-mobile versions,0.23076923076923078,13,False
project errors and glitches,0.5,26,True
quality complaints,0.8064516129032258,31,True
rating and star reviews,0.18518518518518517,54,False
request for scratch 3.0 version,0.0,15,False
request for scratch app,0.2903225806451613,31,False
saving project issues,0.36363636363636365,11,False
school practice app,0.0,14,False
school/educational app usage,0.04477611940298507,67,False
scratch animation feedback,0.13043478260869565,23,False
scratch jr app issues,0.3,10,False
scratch jr app reviews,0.1956521739130435,46,False
scratchjr app reviews,0.047619047619047616,21,False
screen layout issues,0.5625,16,True
super enthusiasm,0.023809523809523808,42,False
